Name;run;seed;best_epoch;AP;Stress
mlp_3_16_1;1;0;98;0.8640;0.9011;0.496
mlp_3_16_1;2;1234;100;0.8635;0.9019;
mlp_3_16_1;3;2305;88;0.8541;0.8951;
mlp_3_16_1;mean;;;0.8605;0.8994;

mlp_3_16_2;1;0;100;0.8643;0.9028;0.482
mlp_3_16_2;2;1234;84;0.8581;0.9015;
mlp_3_16_2;3;2305;100;0.8655;0.9060;
mlp_3_16_2;mean;;;0.8626;0.9034;

mlp_3_16_3;1;0;70;0.8775;0.9092;0.674
mlp_3_16_3;2;1234;94;0.8730;0.9105;
mlp_3_16_3;3;2305;100;0.8850;0.9165;
mlp_3_16_3;mean;;;0.8785;0.9120;

mlp_3_16_6;1;0;81;0.8794;0.9194;1.12
mlp_3_16_6;2;1234;87;0.8747;0.9060;
mlp_3_16_6;3;2305;88;0.8724;0.9092:
mlp_3_16_6;mean;;;0.8755;0.91153;

mlp_3_16_9;1;0;93;0.8701;0.9084;1.89
mlp_3_16_9;2;1234;92;0.8780;0.9105;
mlp_3_16_9;3;2305;91;0.8910;0.9210;
mlp_3_16_9;mean;;;0.8797;0.9133;

mlp_3_16_12;1;0;58;0.8745;0.9141;2.61
mlp_3_16_12;2;1234;99;0.8752;0.9145;
mlp_3_16_12;3;2305;84;0.8789;0.9165;
mlp_3_16_12;mean;;;0.8762;0.9150;

baseline;1;0;79;0.8787;0.9165;
baseline;2;1234;76;0.8755;0.9113;
baseline;3;2305;59;0.8783;0.9141;
baseline;mean;;;0.8785;0.9140;

mlp_3_16_3_scaled_stress0.0001;1;0;84;0.8752;0.9137;
mlp_3_16_3_scaled_stress0.0001;2;1234;;0.;0.;
mlp_3_16_3_scaled_stress0.0001;3;2305;;0.;0.;
mlp_3_16_3_scaled_stress0.0001;mean;;;0.;0.;

mlp_3_16_3_scaled_stress0.001;1;0;63;0.8655;0.9088;
mlp_3_16_3_scaled_stress0.001;2;1234;;0.;0.;
mlp_3_16_3_scaled_stress0.001;3;2305;;0.;0.;
mlp_3_16_3_scaled_stress0.001;mean;;;0.;0.;

mlp_3_16_3_scaled_stress0.01;1;0;92;0.8782;0.9100;
mlp_3_16_3_scaled_stress0.01;2;1234;;0.;0.;
mlp_3_16_3_scaled_stress0.01;3;2305;;0.;0.;
mlp_3_16_3_scaled_stress0.01;mean;;;0.;0.;

mlp_3_16_3_scaled_stress0.1;1;0;89;0.8802;0.9145;
mlp_3_16_3_scaled_stress0.1;2;1234;;0.;0.;
mlp_3_16_3_scaled_stress0.1;3;2305;;0.;0.;
mlp_3_16_3_scaled_stress0.1;mean;;;0.;0.;

mlp_3_16_3_scaled_stress1;1;0;63;0.8828;0.9177;
mlp_3_16_3_scaled_stress1;2;1234;56;0.;0.9137;
mlp_3_16_3_scaled_stress1;3;2305;;0.;0.;
mlp_3_16_3_scaled_stress1;mean;;;0.;0.;

mlp_3_16_12_scaled_stress0.0001;1;0;86;0.8850;0.9129;
mlp_3_16_12_scaled_stress0.0001;2;1234;70;0.8715;0.9133;
mlp_3_16_12_scaled_stress0.0001;3;2305;;0.;0.;
mlp_3_16_12_scaled_stress0.0001;mean;;;0.;0.;

mlp_3_16_12_scaled_stress0.001;1;0;92;0.8799;0.9145;
mlp_3_16_12_scaled_stress0.001;2;1234;95;0.8789;0.9133;
mlp_3_16_12_scaled_stress0.001;3;2305;;0.;0.;
mlp_3_16_12_scaled_stress0.001;mean;;;0.;0.;

mlp_3_16_12_scaled_stress0.01;1;0;88;0.8715;0.9113;
mlp_3_16_12_scaled_stress0.01;2;1234;66;0.8843;0.9157;
mlp_3_16_12_scaled_stress0.01;3;2305;;0.;0.;
mlp_3_16_12_scaled_stress0.01;mean;;;0.;0.;

mlp_3_16_12_scaled_stress0.1;1;0;91;0.8782;0.9177;
mlp_3_16_12_scaled_stress0.1;2;1234;73;0.8773;0.9109;
mlp_3_16_12_scaled_stress0.1;3;2305;;0.;0.;
mlp_3_16_12_scaled_stress0.1;mean;;;0.;0.;

mlp_3_16_12_scaled_stress1;1;0;70;0.8838;0.9147;
mlp_3_16_12_scaled_stress1;2;1234;88;0.8740;0.9084;
mlp_3_16_12_scaled_stress1;3;2305;;0.;0.;
mlp_3_16_12_scaled_stress1;mean;;;0.;0.;

mlp_3_16_12_scaled_stress10;1;0;88;0.8836;0.9165;0.0030523547902703285
mlp_3_16_12_scaled_stress10;2;1234;90;0.8772;0.9137;
mlp_3_16_12_scaled_stress10;3;2305;79;0.8677;0.9137;
mlp_3_16_12_scaled_stress10;mean;;;0.;0.;
